Newspaper,Link
Fresno Bee,https://docs.google.com/spreadsheets/d/1yJNmLbiBJV_qtfqYToAUyie0Xl6rp2mNTZ7kHYb1hhE/edit?gid=0#gid=0
Modesto Bee,
San Francisco Chronicle,https://merced-my.sharepoint.com/:x:/g/personal/ckirkland_ucmerced_edu/EW_aDHQtQTZGkuYya7a3MM8BTYzvAfKUa0Q9c2i9im6szQ?CID=08e9461a-6dce-d8ad-a80d-f33773f56b80&e=pwRDnb
LA Times,
San Diego Union Tribune,https://legislativesimulationsd.com/
La Opinion,
Orange County Register,https://docs.google.com/spreadsheets/d/1aYVrlXLuCNaEjr5jSbli82yTJ0E7aImrd-KvHhgfijA/edit?gid=0#gid=0
